ppg1,ppg2,ppg3
130068,304990,437162
130063,305252,437185
130113,305203,437006
129972,304758,436768
129420,303312,435989
128688,301969,434968
128172,301295,434646
128101,301348,434692
128355,301681,435000
128642,302086,435099
128841,302362,435199
129029,302581,435345
129222,302938,435641
129415,303406,435933
129589,303632,436100
129712,303968,436187
129674,303793,436079
129588,303588,436052
129566,303564,436040
129577,303548,435983
129662,303693,436156
129742,303839,436087
129820,304052,436310
129952,304122,436437
130050,304470,436395
130133,304539,436650
130231,304790,436771
130275,304806,436715
130307,304933,436770
130359,305115,436940
130439,305199,437037
130427,305434,437170
130518,305596,437228
130567,305597,437172
130489,305474,436995
130231,304331,436390
129513,302865,435423
129014,301984,434924
128869,301837,434700
129059,302264,434889
129339,302687,435107
129541,303051,435573
129710,303345,435743
129828,303651,435782
130014,304012,436120
130204,304425,436330
130331,304566,436441
130287,304605,436594
130235,304275,436276
130135,304177,436071
130117,304048,436126
130133,304169,436040
130222,304271,436334
130316,304507,436369
130405,304546,436567
130434,304764,436472
130500,304821,436470
130533,304937,436533
130555,304924,436595
130607,304968,436596
130609,305096,436606
130634,305006,436677
130716,305376,436643
130762,305344,436791
130774,305370,436772
130704,305127,436657
130355,303903,435918
129786,302765,435021
129412,302053,434856
129273,301936,434525
129371,302213,434643
129630,302563,434945
129792,302915,435255
129943,303280,435298
130080,303442,435418
130201,303882,435594
130316,304027,435972
130369,304128,435854
130326,303979,435975
130255,303940,435769
130245,303748,435670
130248,303894,435597
130309,303908,435649
130311,303966,435784
130381,304021,435719
130449,304279,435835
130523,304393,435976
130501,304311,435851
130459,304162,436005
130375,304174,435890
130281,304064,435881
130381,304198,435881
130475,304408,435993
130534,304540,435973
130597,304658,436150
130649,304697,436277
130505,304199,435869
129903,302897,434803
129078,301370,434007
128528,300611,433593
128573,300713,433780
128820,301295,433908
129159,301673,434238
129384,302061,434473
129554,302330,434617
129726,302617,434671
129931,303035,435023
130065,303302,435248
130158,303229,435242
130090,303313,435092
130062,303301,435103
130025,303144,435029
130058,303173,434970
130124,303250,435128
130202,303269,435100
130265,303634,435315
130373,303669,435350
130436,303922,435475
130510,304025,435661
130545,304112,435585
130612,304246,435656
130645,304174,435705
130710,304252,435792
130744,304619,435762
130817,304566,435922
130871,304824,436008
130867,304753,436127
130746,304135,435541
130149,302860,434712
129458,301460,433830
128989,300967,433554
129007,301089,433678
129269,301402,433741
129555,301897,434120
129802,302201,434148
129937,302372,434527
130093,302798,434701
130344,303261,435000
130471,303532,435281
130488,303608,435282
130411,303450,435190
130364,303239,435033
130385,303262,434966
130371,303301,434972
130409,303267,434838
130453,303350,434999
130599,303524,435191
